Timestamp,Data1,Data2,Data3
2025-06-11 22:32:16.294,10.4805,-5.5488,24.5322
2025-06-11 22:32:16.403,10.4805,-5.5488,24.5322
2025-06-11 22:32:16.508,10.4805,-5.5488,24.5322
2025-06-11 22:32:16.631,10.4805,-5.5488,24.5322
2025-06-11 22:32:16.728,10.4805,-5.5488,24.5322
2025-06-11 22:32:16.848,10.4805,-5.5488,24.5322
2025-06-11 22:32:17.831,1.9102,-1.1113,18.1836
2025-06-11 22:32:17.935,2.1416,-1.377,16.8408
2025-06-11 22:32:18.042,2.2734,-1.4766,16.8232
2025-06-11 22:32:18.149,2.2695,-1.4307,17.3486
2025-06-11 22:32:18.257,2.5156,-1.3496,17.5234
2025-06-11 22:32:18.375,2.7881,-1.2412,17.4824
2025-06-11 22:32:18.474,2.8877,-1.1309,17.5518
2025-06-11 22:32:18.582,2.8711,-1.0879,17.5498
2025-06-11 22:32:18.692,2.792,-1.1162,17.4678
2025-06-11 22:32:18.810,2.8184,-1.1094,17.4062
2025-06-11 22:32:18.930,2.9092,-1.0039,17.4727
2025-06-11 22:32:19.026,2.9297,-0.9521,17.5371
2025-06-11 22:32:19.146,2.9805,-0.9375,17.5381
2025-06-11 22:32:19.245,2.4414,-1.1328,17.4736
2025-06-11 22:32:19.352,2.4502,-1.168,17.3877
2025-06-11 22:32:19.465,2.6416,-1.1211,17.4434
2025-06-11 22:32:19.528,2.7236,-1.0811,17.4756
2025-06-11 22:32:19.631,2.7363,-1.0283,17.4951
2025-06-11 22:32:19.744,2.7139,-0.9932,17.4492
2025-06-11 22:32:19.841,2.6318,-1.0498,17.376
2025-06-11 22:32:19.957,2.4268,-1.1582,17.1279
2025-06-11 22:32:20.056,2.4346,-1.2344,17.0059
2025-06-11 22:32:20.167,2.416,-1.2129,17.1748
2025-06-11 22:32:20.275,2.5312,-1.1816,17.2744
2025-06-11 22:32:20.378,2.6162,-1.1816,17.2051
2025-06-11 22:32:20.482,2.6396,-1.1924,17.1299
2025-06-11 22:32:20.587,2.6904,-1.1816,17.2529
2025-06-11 22:32:20.696,2.791,-1.1523,17.3262
2025-06-11 22:32:20.807,2.7998,-1.1279,17.3574
2025-06-11 22:32:20.910,2.7979,-1.1133,17.376
2025-06-11 22:32:21.017,2.7812,-1.1016,17.4072
2025-06-11 22:32:21.119,2.75,-1.0908,17.4277
2025-06-11 22:32:21.228,2.8672,-1.0537,17.8477
2025-06-11 22:32:21.338,3.1396,-0.9756,18.7139
2025-06-11 22:32:21.436,3.3066,-0.9219,19.2734
2025-06-11 22:32:21.545,3.4043,-0.8936,19.6211
2025-06-11 22:32:21.656,3.2305,-0.9307,19.1025
2025-06-11 22:32:21.764,3.043,-0.9883,18.5166
2025-06-11 22:32:21.875,2.918,-1.0293,18.1104
2025-06-11 22:32:21.979,2.8906,-1.0361,18.0234
2025-06-11 22:32:22.091,2.9971,-1.0117,18.3633
2025-06-11 22:32:22.195,3.2568,-0.9473,19.1846
2025-06-11 22:32:22.308,3.4922,-0.8828,19.958
2025-06-11 22:32:22.420,3.5537,-0.8633,20.249
2025-06-11 22:32:22.525,3.2725,-0.9482,19.3672
2025-06-11 22:32:22.640,3.0576,-1.0127,18.6582
2025-06-11 22:32:22.740,3.0996,-0.9932,18.7363
2025-06-11 22:32:22.856,2.9727,-1.0166,18.3096
2025-06-11 22:32:22.945,2.9268,-1.0283,18.1279
2025-06-11 22:32:23.045,3.1396,-0.9834,18.8145
2025-06-11 22:32:23.137,3.1338,-0.9863,18.8086
2025-06-11 22:32:23.266,2.8203,-1.1064,17.7549
2025-06-11 22:32:23.345,2.8096,-1.1289,17.6855
2025-06-11 22:32:23.454,2.7959,-1.1289,17.6406
2025-06-11 22:32:23.564,2.9482,-1.0723,18.25
2025-06-11 22:32:23.665,3.2061,-0.9932,19.0459
2025-06-11 22:32:23.775,3.1914,-0.9854,18.998
2025-06-11 22:32:23.885,3.0898,-1.0039,18.6016
2025-06-11 22:32:23.990,3.21,-0.9941,18.9756
2025-06-11 22:32:24.098,3.9453,-0.8467,18.9756
2025-06-11 22:32:24.198,4.0059,-0.8438,18.9756
2025-06-11 22:32:24.310,3.7256,-0.9092,20.7578
2025-06-11 22:32:24.415,3.2744,-1.0674,19.2832
2025-06-11 22:32:24.518,3.1758,-1.1064,18.998
2025-06-11 22:32:24.627,3.3281,-1.0986,19.5586
2025-06-11 22:32:24.735,3.4941,-1.0469,20.0957
2025-06-11 22:32:24.846,3.4854,-1.0039,20.0049
2025-06-11 22:32:24.944,3.5,-0.9902,19.9854
2025-06-11 22:32:25.058,3.3984,-0.9814,19.5693
2025-06-11 22:32:25.177,3.2227,-1.0107,19.0225
2025-06-11 22:32:25.296,2.9102,-1.0791,17.9424
2025-06-11 22:32:25.400,2.874,-1.1045,17.7627
2025-06-11 22:32:25.507,2.8613,-1.1094,17.7031
2025-06-11 22:32:25.582,2.8545,-1.123,17.6484
2025-06-11 22:32:25.694,2.8408,-1.123,17.6221
2025-06-11 22:32:25.796,2.8223,-1.1221,17.6123
2025-06-11 22:32:25.904,2.8174,-1.1162,17.5977
2025-06-11 22:32:26.006,2.8125,-1.1123,17.5879
2025-06-11 22:32:26.109,2.7988,-1.1074,17.5879
2025-06-11 22:32:26.221,3.291,-0.9941,19.1562
2025-06-11 22:32:26.329,3.4736,-0.9707,19.7422
2025-06-11 22:32:26.430,4.0801,-0.8555,21.5898
2025-06-11 22:32:26.531,4.4717,-0.8145,22.7715
