grid_i,grid_j,X_original,Y_original,Z_original,X_deformed,Y_deformed,Z_deformed,grid_value,distance_from_origin,decay_factor
0,0,-5.0,-5.0,0.0,-5.0,-4.97646929448383,0.014798012717263677,0.014798012717263677,7.0710678118654755,0.06217652402211629
0,1,-4.473684210526316,-5.0,0.0,-4.473684210526316,-4.968958826637524,0.019521202960151227,0.019521202960151227,6.709236202095769,0.082021861177106
0,2,-3.947368421052632,-5.0,0.0,-3.947368421052632,-4.960292340430722,0.02497139114146715,0.02497139114146715,6.370378124689581,0.10492181151876954
0,3,-3.4210526315789473,-5.0,0.0,-3.4210526315789473,-4.950745781769094,0.030975040134642556,0.030975040134642556,6.058349701695441,0.13014722745648133
0,4,-2.8947368421052633,-5.0,0.0,-2.8947368421052633,-4.940755839384734,0.03725752470982469,0.03725752470982469,5.777499578973723,0.15654422146985164
0,5,-2.368421052631579,-5.0,0.0,-2.368421052631579,-4.930899585739961,0.04345593498187168,0.04345593498187168,5.532577905691747,0.18258796210870457
0,6,-1.8421052631578947,-5.0,0.0,-1.8421052631578947,-4.92184644616333,0.0491492821062952,0.0491492821062952,5.328541245083312,0.2065095886819126
0,7,-1.3157894736842106,-5.0,0.0,-1.3157894736842106,-4.914286389056201,0.05390365809122512,0.05390365809122512,5.170232290628553,0.2264859583664921
0,8,-0.7894736842105265,-5.0,0.0,-0.7894736842105265,-4.9088442997601245,0.057326084442040855,0.057326084442040855,5.061943174124038,0.24086590101697838
0,9,-0.2631578947368425,-5.0,0.0,-0.2631578947368425,-4.9059950221025295,0.05911794091583567,0.05911794091583567,5.00692041853696,0.248394709730402
0,10,0.2631578947368416,-5.0,0.0,0.2631578947368416,-4.9059950221025295,0.05911794091583567,0.05911794091583567,5.00692041853696,0.248394709730402
0,11,0.7894736842105257,-5.0,0.0,0.7894736842105257,-4.9088442997601245,0.057326084442040855,0.057326084442040855,5.061943174124038,0.24086590101697838
0,12,1.3157894736842106,-5.0,0.0,1.3157894736842106,-4.914286389056201,0.05390365809122512,0.05390365809122512,5.170232290628553,0.2264859583664921
0,13,1.8421052631578947,-5.0,0.0,1.8421052631578947,-4.92184644616333,0.0491492821062952,0.0491492821062952,5.328541245083312,0.2065095886819126
0,14,2.3684210526315788,-5.0,0.0,2.3684210526315788,-4.930899585739961,0.04345593498187168,0.04345593498187168,5.532577905691747,0.18258796210870457
0,15,2.894736842105263,-5.0,0.0,2.894736842105263,-4.940755839384734,0.03725752470982469,0.03725752470982469,5.777499578973723,0.15654422146985164
0,16,3.421052631578947,-5.0,0.0,3.421052631578947,-4.950745781769094,0.030975040134642556,0.030975040134642556,6.058349701695441,0.13014722745648133
0,17,3.947368421052632,-5.0,0.0,3.947368421052632,-4.960292340430722,0.02497139114146715,0.02497139114146715,6.370378124689581,0.10492181151876954
0,18,4.473684210526315,-5.0,0.0,4.473684210526315,-4.968958826637524,0.019521202960151227,0.019521202960151227,6.709236202095769,0.082021861177106
0,19,5.0,-5.0,0.0,5.0,-4.97646929448383,0.014798012717263677,0.014798012717263677,7.0710678118654755,0.06217652402211629
1,0,-5.0,-4.473684210526316,0.0,-5.0,-4.44264303716384,0.019521202960151227,0.019521202960151227,6.709236202095769,0.082021861177106
1,1,-4.473684210526316,-4.473684210526316,0.0,-4.473684210526316,-4.432735398215646,0.025751928471236106,0.025751928471236106,6.326744884300688,0.10820138013124415
1,2,-3.947368421052632,-4.473684210526316,0.0,-3.947368421052632,-4.421302766048965,0.032941693184329233,0.032941693184329233,5.966202130923492,0.13841047556440855
